title,runtime,metascore,rating,genre
Pineapple Express,111,64,7,action
Public Enemies,140,70,7,drama
Snowpiercer,126,84,7,action
Ted,106,62,7,comedy
The Amazing Spider-Man,136,66,7,action
The Danish Girl,119,66,7,drama
The Host,120,85,7,comedy
The World's End,109,81,7,action
Their Finest,117,76,7,comedy
Thor,115,57,7,action
Thor: The Dark World,112,54,7,action
Trance,101,61,7,drama
Tropic Thunder,107,71,7,action
Trust,106,60,7,drama
Warcraft,123,32,7,action
We're the Millers,110,44,7,comedy
World War Z,116,63,7,action
A Good Year,117,47,6.9,comedy
American Wrestler: The Wizard,117,,6.9,drama
Before We Go,95,31,6.9,comedy
Black Mass,123,68,6.9,drama
Captain America: The First Avenger,124,66,6.9,action
Chappie,120,41,6.9,action
Custody,104,72,6.9,drama
Disturbia,105,,6.9,drama
Florence Foster Jenkins,111,71,6.9,comedy
Free State of Jones,139,,6.9,action
Horrible Bosses,98,57,6.9,comedy
In the Heart of the Sea,122,47,6.9,action
Indignation,110,78,6.9,drama
Mission: Impossible III,126,66,6.9,action
Rio,96,63,6.9,comedy
Shin Gojira,120,68,6.9,action
Step Brothers,98,51,6.9,comedy
Storks,87,56,6.9,comedy
Suite Française,107,,6.9,drama
The Book of Eli,118,53,6.9,action
The First Time,95,55,6.9,comedy
The Headhunter's Calling,108,85,6.9,drama
The Magnificent Seven,132,54,6.9,action
The Stanford Prison Experiment,122,67,6.9,drama
This Beautiful Fantastic,100,51,6.9,comedy
Unknown,113,56,6.9,action
Warm Bodies,98,59,6.9,comedy
21,123,48,6.8,drama
A United Kingdom,111,65,6.8,drama
Ballerina,89,,6.8,comedy
Bleed for This,117,62,6.8,drama
Bridesmaids,125,75,6.8,comedy
Chuck,98,68,6.8,drama
Collateral Beauty,97,23,6.8,drama
Don't Think Twice,92,83,6.8,comedy
Hanna,111,65,6.8,action
If I Stay,107,46,6.8,drama
Jackie,100,81,6.8,drama
Men in Black 3,106,58,6.8,action
No Escape,103,38,6.8,action
Out of the Furnace,116,63,6.8,drama
Pandorum,108,28,6.8,action
Paris pieds nus,83,,6.8,comedy
Spectre,148,60,6.8,action
Super,96,50,6.8,comedy
The A-Team,117,47,6.8,action
The Babadook,93,86,6.8,drama
The Devil Wears Prada,109,62,6.8,comedy
The Finest Hours,117,58,6.8,action
The Incredible Hulk,112,61,6.8,action
The Maze Runner,113,57,6.8,action
The Secret Scripture,108,37,6.8,drama
The Tree of Life,139,85,6.8,drama
Tron,125,49,6.8,action
Unstoppable,98,69,6.8,action
What If,98,59,6.8,comedy
American Reunion,113,49,6.7,comedy
Batman v Superman: Dawn of Justice,151,44,6.7,action
Bridget Jones's Baby,118,59,6.7,comedy
Café Society,96,64,6.7,comedy
Ender's Game,114,,6.7,action
Escape Plan,115,49,6.7,action
Gangster Squad,113,40,6.7,action
Gold,120,49,6.7,drama
Hairspray,117,81,6.7,comedy
Hardcore Henry,96,51,6.7,action
"Hello, My Name Is Doris",95,63,6.7,comedy
Home,94,55,6.7,comedy
Hotel Transylvania 2,89,44,6.7,comedy
Hounds of Love,108,72,6.7,drama
In Time,109,53,6.7,action
Inherent Vice,148,81,6.7,comedy
Jason Bourne,123,58,6.7,action
Love & Other Drugs,112,55,6.7,comedy
Macbeth,113,71,6.7,drama
Midnight Special,112,76,6.7,drama
Miss Peregrine's Home for Peculiar Children,127,57,6.7,drama
Notorious,122,60,6.7,drama
Nymphomaniac: Vol. II,123,60,6.7,drama
Pirates of the Caribbean: On Stranger Tides,136,45,6.7,action
Popstar: Never Stop Never Stopping,87,68,6.7,comedy
Project X,88,48,6.7,comedy
Robin Hood,140,53,6.7,action
Safe Haven,115,34,6.7,drama
The Amazing Spider-Man 2,142,53,6.7,action
The Best of Me,118,29,6.7,drama
The Bourne Legacy,135,61,6.7,action
The Daughter,96,62,6.7,drama
The Girl Next Door,91,29,6.7,drama
The Girl with All the Gifts,111,67,6.7,drama
The Hunger Games: Mockingjay - Part 1,123,64,6.7,action
The Invitation,100,74,6.7,drama
The Lovely Bones,135,42,6.7,drama
The Other Boleyn Girl,115,50,6.7,drama
The Other Guys,107,64,6.7,action
The Proposal,108,48,6.7,comedy
The Wolverine,126,60,6.7,action
Turbo Kid,93,60,6.7,action
Wanted,110,64,6.7,action
X-Men Origins: Wolverine,107,40,6.7,action
X-Men: The Last Stand,104,58,6.7,action
Anna Karenina,129,63,6.6,drama
Antichrist,108,49,6.6,drama
Australia,165,53,6.6,drama
Burnt,101,42,6.6,comedy
Contagion,106,70,6.6,drama
Crimson Peak,119,66,6.6,drama
Denial,109,63,6.6,drama
Deuces,87,36,6.6,drama
Diary of a Wimpy Kid: Rodrick Rules,99,51,6.6,comedy
Don Jon,90,66,6.6,comedy
Eagle Eye,118,43,6.6,action
Elysium,109,,6.6,action
Entourage,104,38,6.6,comedy
Fast & Furious,107,46,6.6,action
Focus,105,56,6.6,comedy
Friends with Benefits,109,63,6.6,comedy
Hands of Stone,111,54,6.6,action
Idiocracy,84,66,6.6,comedy
John Carter,132,51,6.6,action
Joy,124,56,6.6,drama
Kick-Ass 2,103,41,6.6,action
Life as We Know It,114,39,6.6,comedy
Man on a Ledge,102,40,6.6,action
Never Back Down,110,39,6.6,action
Prince of Persia: The Sands of Time,116,50,6.6,action
Quantum of Solace,106,58,6.6,action
Talladega Nights: The Ballad of Ricky Bobby,108,66,6.6,action
Terminator Salvation,115,49,6.6,action
The Choice,111,26,6.6,drama
The Expendables 2,103,51,6.6,action
The Heat,117,60,6.6,action
The Hunger Games: Mockingjay - Part 2,137,65,6.6,action
The Interview,112,52,6.6,comedy
The Secret Life of Pets,87,61,6.6,comedy
This Is the End,107,67,6.6,comedy
Underworld: Rise of the Lycans,92,44,6.6,action
Whiskey Tango Foxtrot,112,,6.6,comedy
Zack and Miri Make a Porno,101,56,6.6,comedy
A Cure for Wellness,146,47,6.5,drama
A Walk Among the Tombstones,114,57,6.5,drama
Blended,117,31,6.5,comedy
Child 44,137,41,6.5,drama
Faster,98,44,6.5,action
Funny Games,111,,6.5,drama
Genius,104,,6.5,drama
Happy Feet,108,77,6.5,comedy
Horns,120,46,6.5,drama
Imperium,109,68,6.5,drama
Let's Be Cops,104,30,6.5,comedy
Love & Friendship,90,87,6.5,comedy
Money Monster,98,55,6.5,drama
Need for Speed,132,39,6.5,action
Now You See Me 2,129,46,6.5,action
Olympus Has Fallen,119,41,6.5,action
Pain & Gain,129,45,6.5,comedy
Pitch Perfect 2,115,63,6.5,comedy
Savages,131,59,6.5,drama
Self/less,117,34,6.5,action
Sin City: A Dame to Kill For,102,46,6.5,action
Sleeping with Other People,101,64,6.5,comedy
Slither,95,69,6.5,comedy
Stake Land,98,66,6.5,drama
Step Up,104,48,6.5,drama
Terminator Genisys,126,38,6.5,action
The DUFF,101,56,6.5,comedy
The Expendables,103,45,6.5,action
The Girl on the Train,112,48,6.5,drama
The Giver,97,47,6.5,drama
The Hollars,88,53,6.5,comedy
The Lone Ranger,150,,6.5,action
The Lucky One,101,39,6.5,drama
The Ugly Truth,96,28,6.5,comedy
Tomorrowland,130,60,6.5,action
Tramps,82,77,6.5,comedy
Trolls,92,56,6.5,comedy
17 Again,102,48,6.4,comedy
A Bigger Splash,125,74,6.4,drama
Blood Father,88,66,6.4,action
Centurion,97,62,6.4,action
Colossal,109,70,6.4,action
Death Race,105,43,6.4,action
Diary of a Wimpy Kid: Dog Days,94,54,6.4,comedy
Godzilla,123,62,6.4,action
Hancock,92,49,6.4,action
He's Just Not That Into You,129,47,6.4,comedy
Il racconto dei racconti - Tale of Tales,133,72,6.4,drama
Just Go with It,117,33,6.4,comedy
Let Me Make You a Martyr,102,56,6.4,action
Live by Night,129,49,6.4,drama
Lovesong,84,74,6.4,drama
Lucy,89,61,6.4,action
Mamma Mia!,108,51,6.4,comedy
Marie Antoinette,123,65,6.4,drama
Mindhorn,89,71,6.4,comedy
Minions,91,56,6.4,action
Neighbors,97,68,6.4,comedy
Predators,107,51,6.4,action
Riddick,119,49,6.4,action
Salt,100,65,6.4,action
She's Out of My League,104,46,6.4,comedy
She's the Man,105,45,6.4,comedy
Solace,101,36,6.4,drama
The Dictator,83,58,6.4,comedy
The Levelling,83,82,6.4,drama
