name,number,gender
Sjors,21,1
Teuntje,21,1
Abdul,20,0
Andy,20,0
Aryan,20,0
Cristiano,20,0
Davi,20,0
Demian,20,0
Dyon,20,0
Emmanuel,20,0
Friso,20,0
Gerben,20,0
Jessy,20,0
Judah,20,0
Lennard,20,0
Mikai,20,0
Nathaniel,20,0
Seff,20,0
Selim,20,0
Sky,20,0
Soufian,20,0
Tiemen,20,0
Yari,20,0
Yigit,20,0
Yiğit,20,0
Yunus,20,0
Yuri,20,0
Zakariya,20,0
Zayd,20,0
Alissa,20,1
Elske,20,1
Elvira,20,1
Emelie,20,1
Faylinn,20,1
Geertje,20,1
Gina,20,1
Jikke,20,1
Jildou,20,1
Jordan,20,1
Josje,20,1
Joyce,20,1
Joëlla,20,1
Kira,20,1
Lenne,20,1
Lila,20,1
Lydia,20,1
Mies,20,1
Nikita,20,1
Nikkie,20,1
Noah,20,1
Reva,20,1
Sanna,20,1
Summer,20,1
Tatum,20,1
Vieve,20,1
Akram,19,0
Antonius,19,0
Boudewijn,19,0
Daaf,19,0
Fos,19,0
Hayden,19,0
Hein,19,0
Imraan,19,0
Imre,19,0
Ingmar,19,0
Jeremiah,19,0
Joseph,19,0
Kenan,19,0
Leonard,19,0
Loet,19,0
Marley,19,0
Mathis,19,0
Maximus,19,0
Oliwier,19,0
Pascal,19,0
Patrick,19,0
Ries,19,0
Said,19,0
Yousef,19,0
Asiya,19,1
Assia,19,1
Chayenna,19,1
Chloe,19,1
Deborah,19,1
Dide,19,1
Emmelie,19,1
Florien,19,1
Jaelynn,19,1
Jamie,19,1
Khloé,19,1
Laure,19,1
Lobke,19,1
Marlou,19,1
Mieke,19,1
Novi,19,1
Oumayra,19,1
Rabia,19,1
Riley,19,1
Serena,19,1
Tuana,19,1
Vivienne,19,1
Arne,18,0
Auke,18,0
Beer,18,0
Benyamin,18,0
Boyd,18,0
Deen,18,0
Dustin,18,0
Fatih,18,0
Imrane,18,0
Issam,18,0
Jaysen,18,0
Jent,18,0
Jozua,18,0
Kane,18,0
Kaya,18,0
Kjell,18,0
Kobe,18,0
Leandro,18,0
Mace,18,0
Magnus,18,0
Noam,18,0
Noan,18,0
Petrus,18,0
Piet,18,0
Redouan,18,0
Remy,18,0
Rivano,18,0
Rogier,18,0
Thies,18,0
Wolf,18,0
Yousri,18,0
Zeno,18,0
Alida,18,1
Annelie,18,1
Asmin,18,1
Brecht,18,1
Caitlin,18,1
Charissa,18,1
Ellen,18,1
Fee,18,1
Felien,18,1
Florence,18,1
Freya,18,1
Israa,18,1
Juliet,18,1
Leia,18,1
Maatje,18,1
Malin,18,1
Mijs,18,1
Mikki,18,1
Nisrine,18,1
Noëlla,18,1
Oliwia,18,1
Veronique,18,1
Wiep,18,1
Yana,18,1
Zoya,18,1
Şura,18,1
Aleksander,17,0
Arjen,17,0
Billy,17,0
Bing,17,0
Boy,17,0
Caleb,17,0
Calvin,17,0
Damiën,17,0
Danté,17,0
Dario,17,0
Desley,17,0
Ferran,17,0
Halil,17,0
Hero,17,0
Hylke,17,0
Ismael,17,0
Jayvano,17,0
Jaïr,17,0
Joachim,17,0
Jorg,17,0
Jouke,17,0
Just,17,0
Levin,17,0
Lucien,17,0
Malik,17,0
Mauk,17,0
Maxwell,17,0
Mirac,17,0
Okke,17,0
Patryk,17,0
Ricardo,17,0
Sabir,17,0
Sergio,17,0
Stein,17,0
Steyn,17,0
Troy,17,0
Yahya,17,0
Ana,17,1
Arwen,17,1
Bowi,17,1
Caitlyn,17,1
Catoo,17,1
Céline,17,1
Elodie,17,1
Fatma,17,1
Femme,17,1
Feyza,17,1
Jannigje,17,1
Jayla,17,1
Kato,17,1
Kiara,17,1
Linsey,17,1
Luana,17,1
Martina,17,1
Melek,17,1
Neva,17,1
Noémi,17,1
Phoebe,17,1
Pieternella,17,1
Quincy,17,1
Rania,17,1
Ranomi,17,1
Rhodé,17,1
Rosie,17,1
Safa,17,1
Samantha,17,1
Sanae,17,1
Sifra,17,1
Soumaya,17,1
Stephanie,17,1
Tasnim,17,1
Wiktoria,17,1
Yarah,17,1
Aart,16,0
Alessio,16,0
Anass,16,0
Andreas,16,0
Andries,16,0
Antonio,16,0
Atilla,16,0
Aymen,16,0
Dawid,16,0
Dilano,16,0
Divano,16,0
Dwayne,16,0
Eric,16,0
Gio,16,0
Henk,16,0
Ishak,16,0
Jazzley,16,0
Jeffrey,16,0
Jeppe,16,0
Joeri,16,0
Josh,16,0
Kristian,16,0
Marten,16,0
Mateo,16,0
Moussa,16,0
Nathanaël,16,0
Neal,16,0
Nelson,16,0
Revi,16,0
Rico,16,0
Rowen,16,0
Salim,16,0
Sidney,16,0
Skye,16,0
Thieme,16,0
Tobin,16,0
Aline,16,1
Amanda,16,1
Anastasia,16,1
Ayşe,16,1
Caithlyn,16,1
Cleo,16,1
Day,16,1
Demy,16,1
Diana,16,1
Dila,16,1
Dua,16,1
Ecrin,16,1
Felice,16,1
Gabriella,16,1
Haley,16,1
Hope,16,1
Jadey,16,1
Jennah,16,1
Jitske,16,1
Joanne,16,1
Jonne,16,1
Katie,16,1
Laila,16,1
Luca,16,1
Lyna,16,1
Manou,16,1
Mikayla,16,1
Nada,16,1
Narin,16,1
Noralie,16,1
Nouk,16,1
Resa,16,1
Rixt,16,1
Rosalynn,16,1
Roxanne,16,1
Rozemarijn,16,1
Sharon,16,1
Uma,16,1
Yade,16,1
Ylse,16,1
Ymke,16,1
Zoe,16,1
Alejandro,15,0
Amar,15,0
Arman,15,0
Ayaan,15,0
Baran,15,0
Brayden,15,0
Chahid,15,0
Chiel,15,0
Cody,15,0
Devran,15,0
Djurre,15,0
Dominik,15,0
Finley,15,0
Goos,15,0
Harmen,15,0
Harvey,15,0
Henry,15,0
Ishaan,15,0
Jackson,15,0
Jakob,15,0
Juliano,15,0
Kayne,15,0
Kayra,15,0
Kerim,15,0
Leander,15,0
Lucca,15,0
Maikel,15,0
Matt,15,0
Michaël,15,0
Musa,15,0
Phyllon,15,0
Ramon,15,0
Remco,15,0
René,15,0
Rinze,15,0
Robbin,15,0
Roemer,15,0
Romano,15,0
Sammy,15,0
Sid,15,0
Skip,15,0
Tiago,15,0
Tomas,15,0
Tyson,15,0
Vincenzo,15,0
Winston,15,0
Xam,15,0
Yaro,15,0
Yasser,15,0
Zev,15,0
Aicha,15,1
