,address,area,bedrooms,city,postal_code,posting_date,price,property_type,rooms,sale_date,url,year_built
5735,Tweede Jan Steenstraat 77 E,,,,1074 CL,25-9-2015,,apartment,,19-10-2015,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49502589-tweede-jan-steenstraat-77-e/,
5736,Raden Adjeng Kartinistraat 27,,,,1103 MG,10-3-2015,,apartment,,13-11-2015,http://www.funda.nl/koop/verkocht/amsterdam/appartement-84763386-raden-adjeng-kartinistraat-27/,
5737,Uiterwaardenstraat 352 HS,,,,1079 DD,17-10-2015,,apartment,,6-11-2015,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49536830-uiterwaardenstraat-352-hs/,
5738,P. Hans Frankfurthersingel 134,,,,1060 TN,17-7-2015,,apartment,,1-11-2015,http://www.funda.nl/koop/verkocht/amsterdam/appartement-85803501-p-hans-frankfurthersingel-134/,
5739,Valeriusstraat 155 I,,,,1075 EV,5-12-2015,,apartment,,21-12-2015,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49674313-valeriusstraat-155-i/,
5740,Jelle Posthumapad 84,,,,1106 ZR,13-4-2014,,house,,30-11-2015,http://www.funda.nl/koop/verkocht/amsterdam/huis-84444514-jelle-posthumapad-84/,
5741,Leerdamhof 238,,,,1108 BW,2-12-2014,,apartment,,2-12-2015,http://www.funda.nl/koop/verkocht/amsterdam/appartement-84677990-leerdamhof-238/,
5742,Jacob van Lennepkade 249 -C,,,,1054 ZS,2-5-2015,,apartment,,29-5-2015,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49468571-jacob-van-lennepkade-249-c/,
5743,Blasiusstraat 16 -1,,,,1091 CR,14-11-2015,,apartment,,20-11-2015,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49652375-blasiusstraat-16-1/,
5744,Dusartstraat 32 HS,,,,1072 HS,25-11-2015,,apartment,,10-12-2015,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49662999-dusartstraat-32-hs/,
